,id,iso_code,country,size,un_region,x,y,type,country_source,country_target,path
341,6,,,,Americas,104.73142523948351,571.5270678883797,edge,Chile,China,21
342,6,,,,Americas,102.6523488800394,571.7801673119333,edge,Chile,China,22
343,6,,,,Americas,100.62951118694296,572.0032419523242,edge,Chile,China,23
344,6,,,,Americas,98.65958280606738,572.197579548713,edge,Chile,China,24
345,6,,,,Americas,96.73952993693972,572.3644701300184,edge,Chile,China,25
346,6,,,,Americas,94.86661433274108,572.505206014917,edge,Chile,China,26
347,6,,,,Americas,93.03839330030647,572.621081811844,edge,Chile,China,27
348,6,,,,Americas,91.25271970012496,572.713394418992,edge,Chile,China,28
349,6,,,,Americas,89.50774194633954,572.7834430243125,edge,Chile,China,29
350,6,,,,Americas,87.80190400674716,572.8325291055147,edge,Chile,China,30
351,6,,,,Americas,86.13394540279883,572.8619564300659,edge,Chile,China,31
